"tx_tipo_artefato","tx_estado_artefato","id_artefato","nr_ano","id_uasg","in_estado","in_tipo","nm_uasg","id_unico","id_secao_artefato","nr_ordem_secao","no_secao_artefato","dt_operacao_secao","conteudo_secao","id_item_secao","nr_ordem_item","no_item","in_obrigatorio_item","dt_operacao_item","id_operacao_item","id_login_item","conteudo_item"
TR,Excluído,1132929,2023,200999,1,6,MINISTÉRIO DA GESTÃO E DA INOVAÇÃO,"200999/000001/2023",4420943,1,Informações Básicas,2023-04-01 12:59:54.364,"<p><span style=""font-size:12px"">O sistema ser&aacute; composto por:</span></p>

<ol>
	<li style=""text-align:justify""><span style=""font-size:12px"">Modulo fotovoltaico: Que atenda alto padr&atilde;o de qualidade. Ser&aacute; fornecido 1080 unidades conforme Especifica&ccedil;&atilde;o T&eacute;cnica anexa a este documento.</span></li>
	<li style=""text-align:justify""><span style=""font-size:12px"">Estrutura met&aacute;lica para montagem dos m&oacute;dulos solares: As estruturas s&atilde;o previstas para instala&ccedil;&atilde;o em solo sendo necess&aacute;ria a an&aacute;lise do solo e execu&ccedil;&atilde;o de funda&ccedil;&otilde;es.</span></li>
	<li style=""text-align:justify""><span style=""font-size:12px"">Inversor para conex&atilde;o a rede: Ser&aacute; fornecido 4 unidades conforme Especifica&ccedil;&atilde;o T&eacute;cnica anexa a este documento.</span></li>
	<li style=""text-align:justify""><span style=""font-size:12px"">Subesta&ccedil;&atilde;o para dez inversores.</span></li>
	<li style=""text-align:justify""><span style=""font-size:12px"">Material de instala&ccedil;&atilde;o: quais forem necess&aacute;rios.</span></li>
	<li style=""text-align:justify""><span style=""font-size:12px"">Cercamento do per&iacute;metro.</span></li>
	<li style=""text-align:justify""><span style=""font-size:12px"">Sistema de monitoramento.</span></li>
	<li style=""text-align:justify""><span style=""font-size:12px"">Preventivo de Inc&ecirc;ndio.</span></li>
	<li style=""text-align:justify""><span style=""font-size:12px"">Drenagem.</span></li>
	<li style=""text-align:justify""><span style=""font-size:12px"">Licen&ccedil;as, registros, alvar&aacute;s ou quaisquer documenta&ccedil;&otilde;es necess&aacute;rias garantindo a instala&ccedil;&atilde;o e funcionamento da usina.</span></li>
	<li style=""text-align:justify""><span style=""font-size:12px"">Quaisquer instala&ccedil;&otilde;es que forem necess&aacute;rias para o adequado funcionamento da usina.</span></li>
</ol>
",4420943,7,Descrição da solução como um todo,S,2022-08-19 10:37:53.924,2,4091231969,"<p><span style=""font-size:12px"">O sistema ser&aacute; composto por:</span></p>

<ol>
	<li style=""text-align:justify""><span style=""font-size:12px"">Modulo fotovoltaico: Que atenda alto padr&atilde;o de qualidade. Ser&aacute; fornecido 1080 unidades conforme Especifica&ccedil;&atilde;o T&eacute;cnica anexa a este documento.</span></li>
	<li style=""text-align:justify""><span style=""font-size:12px"">Estrutura met&aacute;lica para montagem dos m&oacute;dulos solares: As estruturas s&atilde;o previstas para instala&ccedil;&atilde;o em solo sendo necess&aacute;ria a an&aacute;lise do solo e execu&ccedil;&atilde;o de funda&ccedil;&otilde;es.</span></li>
	<li style=""text-align:justify""><span style=""font-size:12px"">Inversor para conex&atilde;o a rede: Ser&aacute; fornecido 4 unidades conforme Especifica&ccedil;&atilde;o T&eacute;cnica anexa a este documento.</span></li>
	<li style=""text-align:justify""><span style=""font-size:12px"">Subesta&ccedil;&atilde;o para dez inversores.</span></li>
	<li style=""text-align:justify""><span style=""font-size:12px"">Material de instala&ccedil;&atilde;o: quais forem necess&aacute;rios.</span></li>
	<li style=""text-align:justify""><span style=""font-size:12px"">Cercamento do per&iacute;metro.</span></li>
	<li style=""text-align:justify""><span style=""font-size:12px"">Sistema de monitoramento.</span></li>
	<li style=""text-align:justify""><span style=""font-size:12px"">Preventivo de Inc&ecirc;ndio.</span></li>
	<li style=""text-align:justify""><span style=""font-size:12px"">Drenagem.</span></li>
	<li style=""text-align:justify""><span style=""font-size:12px"">Licen&ccedil;as, registros, alvar&aacute;s ou quaisquer documenta&ccedil;&otilde;es necess&aacute;rias garantindo a instala&ccedil;&atilde;o e funcionamento da usina.</span></li>
	<li style=""text-align:justify""><span style=""font-size:12px"">Quaisquer instala&ccedil;&otilde;es que forem necess&aacute;rias para o adequado funcionamento da usina.</span></li>
</ol>
"
TR,Excluído,1132929,2023,200999,1,6,MINISTÉRIO DA GESTÃO E DA INOVAÇÃO,"200999/000001/2023",4420944,2,TR da contratação,2023-04-01 12:59:54.364,"<p style=""text-align:justify""><span style=""font-size:12px"">O sistema possui previs&atilde;o de gerar uma m&iacute;nima de 37.500 kWh e m&aacute;xima de 494.100kWh por m&ecirc;s e permitir&aacute; &agrave; AFA gozar estrategicamente de uma segunda fonte de alimenta&ccedil;&atilde;o, uma vez que hoje a Subesta&ccedil;&atilde;o &eacute; a &uacute;nica fonte de alimenta&ccedil;&atilde;o da GUARNAE-YS</span></p>
",4420944,8,Estimativa das Quantidades a serem Contratadas,S,2022-08-19 10:37:53.924,2,4091231969,"<p style=""text-align:justify""><span style=""font-size:12px"">O sistema possui previs&atilde;o de gerar uma m&iacute;nima de 37.500 kWh e m&aacute;xima de 494.100kWh por m&ecirc;s e permitir&aacute; &agrave; AFA gozar estrategicamente de uma segunda fonte de alimenta&ccedil;&atilde;o, uma vez que hoje a Subesta&ccedil;&atilde;o &eacute; a &uacute;nica fonte de alimenta&ccedil;&atilde;o da GUARNAE-YS</span></p>
"
TR,Excluído,1132929,2023,200999,1,6,MINISTÉRIO DA GESTÃO E DA INOVAÇÃO,"200999/000001/2023",4420945,3,Responsáveis,2023-04-01 12:59:54.364,"<p style=""text-align:justify""><span style=""font-size:12px"">Previs&atilde;o de consumo mensal de 252.450 kWh ao <strong>custo m&aacute;ximo de R$ 0,39 (trinta e nove centavos)</strong>. Custo mensal de R$ 98.455,50&nbsp;(noventa e oito mil, quatrocentos e cinquenta e cinco reais e cinquenta centavos). Custo anual de R$ 1.181.466,00 (um milh&atilde;o, cento e oitenta e um mil, quatrocentos e sessenta e seis reais). Custo para a contrata&ccedil;&atilde;o de 10 anos R$ 11.814.660,00 (onze&nbsp;milh&otilde;es, oitocentos e quatorze&nbsp;mil, seiscentos e sessenta reais).</span></p>
",4420945,9,Estimativa do Valor da Contratação,S,2022-08-19 10:37:53.924,2,4091231969,"<p style=""text-align:justify""><span style=""font-size:12px"">Previs&atilde;o de consumo mensal de 252.450 kWh ao <strong>custo m&aacute;ximo de R$ 0,39 (trinta e nove centavos)</strong>. Custo mensal de R$ 98.455,50&nbsp;(noventa e oito mil, quatrocentos e cinquenta e cinco reais e cinquenta centavos). Custo anual de R$ 1.181.466,00 (um milh&atilde;o, cento e oitenta e um mil, quatrocentos e sessenta e seis reais). Custo para a contrata&ccedil;&atilde;o de 10 anos R$ 11.814.660,00 (onze&nbsp;milh&otilde;es, oitocentos e quatorze&nbsp;mil, seiscentos e sessenta reais).</span></p>
"
TR,Excluído,1132929,2023,200999,1,6,MINISTÉRIO DA GESTÃO E DA INOVAÇÃO,"200999/000001/2023",4420946,6,Anexos,2023-04-01 12:59:54.364,"<p><span style=""font-size:12px"">Como a usina ser&aacute; implantada pela Cession&aacute;ria, n&atilde;o cabe o parcelamento do objeto.</span></p>
",4420946,10,Justificativa para o Parcelamento ou não da Solução,S,2022-08-19 10:37:53.924,2,4091231969,"<p><span style=""font-size:12px"">Como a usina ser&aacute; implantada pela Cession&aacute;ria, n&atilde;o cabe o parcelamento do objeto.</span></p>
"
TR,Excluído,1132930,2023,200999,1,6,MINISTÉRIO DA GESTÃO E DA INOVAÇÃO,"200999/000002/2023",4420947,1,Informações Básicas,2023-02-24 21:58:24.690,"<p><span style=""font-size:12px"">N&atilde;o h&aacute;.</span></p>
",4420947,11,Contratações Correlatas e/ou Interdependentes,S,2022-08-19 10:37:53.924,2,4091231969,"<p><span style=""font-size:12px"">N&atilde;o h&aacute;.</span></p>
"
TR,Excluído,1132930,2023,200999,1,6,MINISTÉRIO DA GESTÃO E DA INOVAÇÃO,"200999/000002/2023",4420948,2,TR da contratação,2023-02-24 21:58:24.690,"<p><span style=""font-size:12px"">A obra em quest&atilde;o est&aacute; alinhada com o Planejamento Estrat&eacute;gico, em concord&acirc;ncia com os objetivos e miss&atilde;o institucional da Academia da For&ccedil;a A&eacute;rea, sendo que a previs&atilde;o da sua execu&ccedil;&atilde;o, encontra-se no Plano &nbsp;de Obras e Servi&ccedil;os de 2022.</span><br />
&nbsp;</p>
",4420948,12,Alinhamento entre a Contratação e o Planejamento,S,2022-08-19 10:37:53.924,2,4091231969,"<p><span style=""font-size:12px"">A obra em quest&atilde;o est&aacute; alinhada com o Planejamento Estrat&eacute;gico, em concord&acirc;ncia com os objetivos e miss&atilde;o institucional da Academia da For&ccedil;a A&eacute;rea, sendo que a previs&atilde;o da sua execu&ccedil;&atilde;o, encontra-se no Plano &nbsp;de Obras e Servi&ccedil;os de 2022.</span><br />
&nbsp;</p>
"
TR,Excluído,1132930,2023,200999,1,6,MINISTÉRIO DA GESTÃO E DA INOVAÇÃO,"200999/000002/2023",4420949,5,Responsáveis,2023-02-24 21:58:24.690,"<p style=""text-align:justify""><span style=""font-size:12px"">Por se tratar de uma Cess&atilde;o de Uso de terreno destinado &agrave; produ&ccedil;&atilde;o de energia sustent&aacute;vel, onde o Arrendat&aacute;rio se encarregar&aacute; de fornecer energia por um valor menor daquele que &eacute; pago a Concession&aacute;ria Local o empreendimento trar&aacute; imediata economia &agrave; AFA sem qualquer custo a Uni&atilde;o; e</span></p>

<p style=""text-align:justify""><span style=""font-size:12px"">Findo o contrato, em respeito as regras da Permiss&atilde;o de Uso a usina de placas fotovoltaicas ser&aacute; incorporado ao patrim&ocirc;nio da Uni&atilde;o, abastecendo a GUANAE-YS gratuitamente por mais 20 anos (as placas fotovoltaicas usuais de mercado podem garantir at&eacute; 25 anos de bom desempenho com at&eacute; 80% de sua efici&ecirc;ncia).</span></p>
",4420949,13,Benefícios a serem alcançados com a contratação,S,2022-08-19 10:37:53.924,2,4091231969,"<p style=""text-align:justify""><span style=""font-size:12px"">Por se tratar de uma Cess&atilde;o de Uso de terreno destinado &agrave; produ&ccedil;&atilde;o de energia sustent&aacute;vel, onde o Arrendat&aacute;rio se encarregar&aacute; de fornecer energia por um valor menor daquele que &eacute; pago a Concession&aacute;ria Local o empreendimento trar&aacute; imediata economia &agrave; AFA sem qualquer custo a Uni&atilde;o; e</span></p>

<p style=""text-align:justify""><span style=""font-size:12px"">Findo o contrato, em respeito as regras da Permiss&atilde;o de Uso a usina de placas fotovoltaicas ser&aacute; incorporado ao patrim&ocirc;nio da Uni&atilde;o, abastecendo a GUANAE-YS gratuitamente por mais 20 anos (as placas fotovoltaicas usuais de mercado podem garantir at&eacute; 25 anos de bom desempenho com at&eacute; 80% de sua efici&ecirc;ncia).</span></p>
"
TR,Excluído,1132930,2023,200999,1,6,MINISTÉRIO DA GESTÃO E DA INOVAÇÃO,"200999/000002/2023",4420950,6,Anexos,2023-02-24 21:58:24.690,"<p style=""text-align:justify""><span style=""font-size:12px""><span style=""font-family:Arial,Helvetica,sans-serif"">Os integrantes da equipe t&eacute;cnica j&aacute; receberam o treinamento ou det&eacute;m cursos de capacita&ccedil;&atilde;o adequados para o acompanhamento e fiscaliza&ccedil;&atilde;o dos servi&ccedil;os a serem realizados.</span></span></p>

<p style=""text-align:justify""><span style=""font-size:12px""><span style=""font-family:Arial,Helvetica,sans-serif"">Deve ser avaliada cuidadosamente cada etapa de execu&ccedil;&atilde;o dos servi&ccedil;os e verificada a compet&ecirc;ncia t&eacute;cnica dos integrantes da empresa respons&aacute;veis por cada procedimento, a fim de evitar acidentes e danos.</span></span></p>

<p style=""text-align:justify""><span style=""font-size:12px""><span style=""font-family:Arial,Helvetica,sans-serif"">N&atilde;o h&aacute; necessidade de capacita&ccedil;&atilde;o dos integrantes da equipe de planejamento para a fiscaliza&ccedil;&atilde;o desse contrato, tendo em vista que todos j&aacute; foram capacitados em momento anterior. Tamb&eacute;m n&atilde;o h&aacute; necessidade de adequa&ccedil;&atilde;o das instala&ccedil;&otilde;es, tendo em vista que toda retirada e destina&ccedil;&atilde;o dos elementos a serem retirados ficar&aacute; a cargo da empresa contratada</span></span></p>
",4420950,14,Providências a serem Adotadas,S,2022-08-19 10:37:53.924,2,4091231969,"<p style=""text-align:justify""><span style=""font-size:12px""><span style=""font-family:Arial,Helvetica,sans-serif"">Os integrantes da equipe t&eacute;cnica j&aacute; receberam o treinamento ou det&eacute;m cursos de capacita&ccedil;&atilde;o adequados para o acompanhamento e fiscaliza&ccedil;&atilde;o dos servi&ccedil;os a serem realizados.</span></span></p>

<p style=""text-align:justify""><span style=""font-size:12px""><span style=""font-family:Arial,Helvetica,sans-serif"">Deve ser avaliada cuidadosamente cada etapa de execu&ccedil;&atilde;o dos servi&ccedil;os e verificada a compet&ecirc;ncia t&eacute;cnica dos integrantes da empresa respons&aacute;veis por cada procedimento, a fim de evitar acidentes e danos.</span></span></p>

<p style=""text-align:justify""><span style=""font-size:12px""><span style=""font-family:Arial,Helvetica,sans-serif"">N&atilde;o h&aacute; necessidade de capacita&ccedil;&atilde;o dos integrantes da equipe de planejamento para a fiscaliza&ccedil;&atilde;o desse contrato, tendo em vista que todos j&aacute; foram capacitados em momento anterior. Tamb&eacute;m n&atilde;o h&aacute; necessidade de adequa&ccedil;&atilde;o das instala&ccedil;&otilde;es, tendo em vista que toda retirada e destina&ccedil;&atilde;o dos elementos a serem retirados ficar&aacute; a cargo da empresa contratada</span></span></p>
"
TR,Excluído,1132934,2023,200999,1,6,MINISTÉRIO DA GESTÃO E DA INOVAÇÃO,"200999/000003/2023",4420960,1,Informações Básicas,2023-02-24 21:19:03.720,"<p>Foram consideradas contrata&ccedil;&otilde;es similares feitas por outros &oacute;rg&atilde;os e entidades, inclusive coletando contrata&ccedil;&otilde;es pelo painel de pre&ccedil;os e pesquisa em&nbsp;sites de dom&iacute;nio amplo.</p>

<p>Verificou-se a contrata&ccedil;&atilde;o do processo licitat&oacute;rio anterior (23256.031408.2015-11 - PE 10/2015) para servir como subs&iacute;dio ao levantamento de mercado.&nbsp;</p>

<p>O campus manifestou interesse na Inten&ccedil;&atilde;o de Registro de Pre&ccedil;os (IRP)&nbsp;n&ordm; 11/2020 - da UASG 153045 - UNIVERSIDADE FEDERAL DO CEARA -&nbsp;Servi&ccedil;os de coleta, transporte, tratamento&nbsp;e destina&ccedil;&atilde;o final de RES&Iacute;DUOS QU&Iacute;MICOS e L&Acirc;MPADAS INSERV&Iacute;VEIS, por&eacute;m como pode-se observar, a mesma n&atilde;o contempla todos os itens requeridos na demanda. (processo no Sistema Eletr&ocirc;nico de Informa&ccedil;&otilde;es (SEI) N&ordm; 23256.005868/2020-51)</p>

<p>Considerando, ainda,&nbsp;a especificidade da contrata&ccedil;&atilde;o, n&atilde;o foram encontradas disponibilidades deste servi&ccedil;o em&nbsp;Inten&ccedil;&otilde;es de Registros de Pre&ccedil;os (IRP), bem como n&atilde;o se obteve sucesso na procura por atas de registro de pre&ccedil;os que contemplasse a maioria dos itens.</p>

<p>Portanto, a&nbsp;contrata&ccedil;&atilde;o dos servi&ccedil;os por preg&atilde;o eletr&ocirc;nico&nbsp;mostra-se&nbsp;adequada para a institui&ccedil;&atilde;o neste momento.</p>
",4420960,6,Levantamento de Mercado,S,2022-06-21 15:22:18.919,1,13217973704,"<p>Foram consideradas contrata&ccedil;&otilde;es similares feitas por outros &oacute;rg&atilde;os e entidades, inclusive coletando contrata&ccedil;&otilde;es pelo painel de pre&ccedil;os e pesquisa em&nbsp;sites de dom&iacute;nio amplo.</p>

<p>Verificou-se a contrata&ccedil;&atilde;o do processo licitat&oacute;rio anterior (23256.031408.2015-11 - PE 10/2015) para servir como subs&iacute;dio ao levantamento de mercado.&nbsp;</p>

<p>O campus manifestou interesse na Inten&ccedil;&atilde;o de Registro de Pre&ccedil;os (IRP)&nbsp;n&ordm; 11/2020 - da UASG 153045 - UNIVERSIDADE FEDERAL DO CEARA -&nbsp;Servi&ccedil;os de coleta, transporte, tratamento&nbsp;e destina&ccedil;&atilde;o final de RES&Iacute;DUOS QU&Iacute;MICOS e L&Acirc;MPADAS INSERV&Iacute;VEIS, por&eacute;m como pode-se observar, a mesma n&atilde;o contempla todos os itens requeridos na demanda. (processo no Sistema Eletr&ocirc;nico de Informa&ccedil;&otilde;es (SEI) N&ordm; 23256.005868/2020-51)</p>

<p>Considerando, ainda,&nbsp;a especificidade da contrata&ccedil;&atilde;o, n&atilde;o foram encontradas disponibilidades deste servi&ccedil;o em&nbsp;Inten&ccedil;&otilde;es de Registros de Pre&ccedil;os (IRP), bem como n&atilde;o se obteve sucesso na procura por atas de registro de pre&ccedil;os que contemplasse a maioria dos itens.</p>

<p>Portanto, a&nbsp;contrata&ccedil;&atilde;o dos servi&ccedil;os por preg&atilde;o eletr&ocirc;nico&nbsp;mostra-se&nbsp;adequada para a institui&ccedil;&atilde;o neste momento.</p>
"
TR,Excluído,1132934,2023,200999,1,6,MINISTÉRIO DA GESTÃO E DA INOVAÇÃO,"200999/000003/2023",4420961,2,TR da contratação,2023-02-24 21:19:03.720,"<p>Contrata&ccedil;&atilde;o de empresa especializada para&nbsp;presta&ccedil;&atilde;o de&nbsp;<strong>servi&ccedil;os de coleta</strong>, armazenamento, transporte e disposi&ccedil;&atilde;o final ambientalmente adequada de res&iacute;duos s&oacute;lidos para o&nbsp;Instituto Federal de Educa&ccedil;&atilde;o, Ci&ecirc;ncia&nbsp;e Tecnologia do Cear&aacute; - IFCE Campus Fortaleza.&nbsp;</p>

<p>&nbsp;</p>
",4420961,7,Descrição da solução como um todo,S,2022-06-21 15:22:18.919,1,13217973704,"<p>Contrata&ccedil;&atilde;o de empresa especializada para&nbsp;presta&ccedil;&atilde;o de&nbsp;<strong>servi&ccedil;os de coleta</strong>, armazenamento, transporte e disposi&ccedil;&atilde;o final ambientalmente adequada de res&iacute;duos s&oacute;lidos para o&nbsp;Instituto Federal de Educa&ccedil;&atilde;o, Ci&ecirc;ncia&nbsp;e Tecnologia do Cear&aacute; - IFCE Campus Fortaleza.&nbsp;</p>

<p>&nbsp;</p>
"
